id,name,deadline_time,finished,data_checked
1,Gameweek 1,,True,True
2,Gameweek 2,,True,True
3,Gameweek 3,,True,True
4,Gameweek 4,,True,True
5,Gameweek 5,,True,True
6,Gameweek 6,,True,True
7,Gameweek 7,,True,True
8,Gameweek 8,,True,True
9,Gameweek 9,,True,True
10,Gameweek 10,,True,True
11,Gameweek 11,,True,True
12,Gameweek 12,,True,True
13,Gameweek 13,,True,True
14,Gameweek 14,,True,True
15,Gameweek 15,,True,True
16,Gameweek 16,,True,True
17,Gameweek 17,,True,True
18,Gameweek 18,,True,True
19,Gameweek 19,,True,True
20,Gameweek 20,,True,True
21,Gameweek 21,,True,True
22,Gameweek 22,,True,True
23,Gameweek 23,,True,True
24,Gameweek 24,,True,True
25,Gameweek 25,,True,True
26,Gameweek 26,,True,True
27,Gameweek 27,,True,True
28,Gameweek 28,,True,True
29,Gameweek 29,,True,True
30,Gameweek 30,,True,True
31,Gameweek 31,,True,True
32,Gameweek 32,,True,True
33,Gameweek 33,,True,True
34,Gameweek 34,,True,True
35,Gameweek 35,,True,True
36,Gameweek 36,,True,True
37,Gameweek 37,,True,True
38,Gameweek 38,,True,True
