id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l,team
469,True,h,2016-08-14 19:00:00,l,83,Arsenal,ARS,87,Liverpool,LIV,3,4,1.18197,1.6591,0.27209199843758813,0.2427716565086225,0.4851363447283805,Arsenal
478,True,a,2016-08-20 20:30:00,d,75,Leicester,LEI,83,Arsenal,ARS,0,0,0.553693,0.521509,0.287042443318627,0.4471059376925144,0.2658516189888585,Arsenal
482,True,a,2016-08-27 18:00:00,w,90,Watford,WAT,83,Arsenal,ARS,1,3,1.07775,2.03271,0.1950308119967016,0.21070431487225014,0.5942648683403413,Arsenal
494,True,h,2016-09-10 18:00:00,w,83,Arsenal,ARS,74,Southampton,SOU,2,1,1.89219,1.17522,0.5410880090269506,0.22395437128222703,0.23495761782406915,Arsenal
502,True,a,2016-09-17 18:00:00,w,91,Hull,HUL,83,Arsenal,ARS,1,4,0.969693,3.63453,0.05803551527659742,0.09163996384286013,0.8503178892220432,Arsenal
518,True,h,2016-09-24 20:30:00,w,83,Arsenal,ARS,80,Chelsea,CHE,3,0,1.66224,0.613553,0.6287677176306737,0.23740937084198888,0.13382291119673187,Arsenal
530,True,a,2016-10-02 19:30:00,w,92,Burnley,BUR,83,Arsenal,ARS,0,1,0.608783,1.85433,0.11469916557040655,0.2121052490861388,0.6731955839176793,Arsenal
532,True,h,2016-10-15 18:00:00,w,83,Arsenal,ARS,84,Swansea,SWA,3,2,3.50519,1.74979,0.7072195124126731,0.1364011021431896,0.15637504567372496,Arsenal
547,True,h,2016-10-22 18:00:00,d,83,Arsenal,ARS,93,Middlesbrough,MID,0,0,0.711811,1.55581,0.16990577178268165,0.2541846025212458,0.5759096255607673,Arsenal
2677,True,a,2016-10-29 15:30:00,w,77,Sunderland,SUN,83,Arsenal,ARS,1,4,0.853434,2.48348,0.10846708262649923,0.16156614681613904,0.7299667069835599,Arsenal
2692,True,h,2016-11-06 16:00:00,d,83,Arsenal,ARS,82,Tottenham,TOT,1,1,0.675745,1.19585,0.20910378243909195,0.3057194421659269,0.4851767753913251,Arsenal
2697,True,a,2016-11-19 16:30:00,d,89,Manchester United,MUN,83,Arsenal,ARS,1,1,0.511462,0.575813,0.2569068437984454,0.4439759741195236,0.2991171820820312,Arsenal
2714,True,h,2016-11-27 18:15:00,w,83,Arsenal,ARS,73,Bournemouth,BOU,3,1,2.8697,2.0491,0.5540119346842227,0.17412579893478028,0.2718618725159355,Arsenal
3111,True,a,2016-12-03 21:30:00,w,81,West Ham,WHU,83,Arsenal,ARS,1,5,0.882486,2.96923,0.0806048663673651,0.12592219043925992,0.7934723522695368,Arsenal
3118,True,h,2016-12-10 19:00:00,w,83,Arsenal,ARS,85,Stoke,STO,3,1,1.58027,1.29401,0.44085804396781414,0.24619574123931995,0.31294621461485483,Arsenal
3126,True,a,2016-12-13 23:45:00,l,72,Everton,EVE,83,Arsenal,ARS,2,1,1.46034,1.3508,0.39888493509504336,0.25179980485324643,0.34931525997483825,Arsenal
