id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team
498,Alexis Sánchez,38,3233,24,17.724455885589123,10,8.988114705309272,129,78,6,0,F M S,Arsenal,22,15.440943889319897,27.14119878038764,9.086725620552897,Arsenal
502,Olivier Giroud,29,1170,12,6.999083910137415,3,2.0118066053837538,39,17,2,0,F S,Arsenal,12,6.999083910137415,9.583846874535084,1.8246379978954792,Arsenal
503,Theo Walcott,28,1944,10,9.901477228850126,2,2.5256067672744393,62,13,1,0,F M S,Arsenal,10,9.140307921916246,11.123216319829226,2.42395200766623,Arsenal
499,Mesut Özil,33,2856,8,5.606561478227377,9,8.070462390780449,40,100,2,0,M S,Arsenal,8,5.606561478227377,22.84276197478175,14.728370394557714,Arsenal
500,Alex Iwobi,26,1471,3,3.227379996329546,3,2.2150607239454985,39,26,1,0,M S,Arsenal,3,3.227379996329546,9.353172458708286,5.631796456873417,Arsenal
204,Granit Xhaka,32,2492,2,0.9050186015665531,2,2.115309687331319,34,35,5,2,M S,Arsenal,2,0.9050186015665531,13.469469396397471,12.100475447252393,Arsenal
494,Laurent Koscielny,33,2828,2,1.3298050742596388,0,0.1977356020361185,9,3,4,1,D,Arsenal,2,1.3298050742596388,7.749732313677669,7.706238312646747,Arsenal
501,Danny Welbeck,16,743,2,3.4654518999159336,2,1.1594071947038174,19,5,0,0,F M S,Arsenal,2,3.4654518999159336,4.500693671405315,0.6830954924225807,Arsenal
965,Santiago Cazorla,8,621,2,1.6693916991353035,2,0.8027662038803101,8,10,2,0,M S,Arsenal,0,0.14705369994044304,3.2815439254045486,2.7705690264701843,Arsenal
966,Alex Oxlade-Chamberlain,29,1564,2,2.440088886767626,7,4.469723431393504,28,32,1,0,M S,Arsenal,2,2.440088886767626,10.298072082921863,5.440289983525872,Arsenal
1699,Shkodran Mustafi,26,2274,2,1.1007174905389547,2,0.9719927944242954,24,9,11,0,D,Arsenal,2,1.1007174905389547,8.296248443424702,8.043822031468153,Arsenal
492,Héctor Bellerín,33,2496,1,2.2728806994855404,4,3.5707100834697485,22,28,4,0,D M S,Arsenal,1,2.2728806994855404,12.358971258625388,7.489948648959398,Arsenal
504,Aaron Ramsey,23,1212,1,3.50575712043792,4,4.432390306144953,42,23,3,0,M S,Arsenal,1,3.50575712043792,11.132133066654205,5.294310482218862,Arsenal
508,Calum Chambers,1,90,1,0.13193699717521667,0,0,2,0,0,0,D,Arsenal,1,0.13193699717521667,0.08478890359401703,0.08478890359401703,Arsenal
1700,Lucas Pérez,11,254,1,0.9380822032690048,0,0.5734851062297821,9,7,0,0,F M S,Arsenal,1,0.9380822032690048,2.2173371985554695,0.9818734973669052,Arsenal
491,Petr Cech,35,3097,0,0,0,0,0,0,2,0,GK,Arsenal,0,0,5.055632218718529,5.055632218718529,Arsenal
493,Gabriel,19,1517,0,0.3913955921307206,0,0.26944350078701973,9,4,6,0,D S,Arsenal,0,0.3913955921307206,3.9498982802033424,3.6454091742634773,Arsenal
495,Nacho Monreal,36,3152,0,1.1331041110679507,2,1.9305520094931126,12,12,5,0,D M S,Arsenal,0,1.1331041110679507,11.072828330099583,9.217105515301228,Arsenal
496,Mohamed Elneny,14,693,0,0.5528803020715714,1,0.1320842020213604,15,4,1,0,M S,Arsenal,0,0.5528803020715714,2.462577788159251,2.088330280035734,Arsenal
497,Francis Coquelin,29,1799,0,0.7722077909857035,0,0.6728747999295592,14,15,5,0,M S,Arsenal,0,0.7722077909857035,9.351144429296255,8.483365919440985,Arsenal
505,David Ospina,2,143,0,0,0,0,0,0,0,0,GK S,Arsenal,0,0,0.02810630016028881,0.02810630016028881,Arsenal
507,Per Mertesacker,1,35,0,0,0,0,0,0,0,0,S,Arsenal,0,0,0,0,Arsenal
545,Kieran Gibbs,11,701,0,0.32781399972736835,1,0.6635113917291164,5,10,3,0,D M S,Arsenal,0,0.32781399972736835,2.3076071366667747,1.573708064854145,Arsenal
938,Carl Jenkinson,1,84,0,0,0,0,0,0,0,0,D,Arsenal,0,0,0.012359900400042534,0.012359900400042534,Arsenal
967,Mathieu Debuchy,1,15,0,0,0,0,0,0,0,0,D,Arsenal,0,0,0,0,Arsenal
1036,Jack Wilshere,2,35,0,0,0,0,0,0,1,0,S,Arsenal,0,0,0.026521999388933182,0.026521999388933182,Arsenal
1749,Rob Holding,9,810,0,0.5570453740656376,0,0.10546769946813583,5,3,3,0,D,Arsenal,0,0.5570453740656376,2.7223821710795164,2.608095182105899,Arsenal
1750,Ainsley Maitland-Niles,1,1,0,0,0,0,0,0,0,0,S,Arsenal,0,0,0,0,Arsenal
4401,Emiliano Martinez,2,180,0,0,0,0,0,0,0,0,GK,Arsenal,0,0,0.1645912043750286,0.1645912043750286,Arsenal
