id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l,team
468,True,h,2016-08-14 16:30:00,l,73,Bournemouth,BOU,89,Manchester United,MUN,1,3,0.522847,1.91105,0.09245335162886854,0.199793493510435,0.7077531527354537,Bournemouth
480,True,a,2016-08-21 19:00:00,l,81,West Ham,WHU,73,Bournemouth,BOU,1,0,1.69288,0.39341,0.6977671448837254,0.22165678594943158,0.0805760687442676,Bournemouth
486,True,a,2016-08-27 18:00:00,d,78,Crystal Palace,CRY,73,Bournemouth,BOU,1,1,2.659,0.974014,0.7316593886652405,0.1542874069073867,0.11405305395714374,Bournemouth
495,True,h,2016-09-10 18:00:00,w,73,Bournemouth,BOU,76,West Bromwich Albion,WBA,1,0,0.986511,1.48347,0.2513543330437596,0.26174446285235686,0.4869012040327735,Bournemouth
504,True,a,2016-09-17 18:00:00,l,88,Manchester City,MCI,73,Bournemouth,BOU,4,0,3.38733,0.389672,0.9160939704851033,0.06466659147725624,0.01923654169349987,Bournemouth
517,True,h,2016-09-24 18:00:00,w,73,Bournemouth,BOU,72,Everton,EVE,1,0,0.693594,1.15724,0.220610693245061,0.31088574839305083,0.4685035583595706,Bournemouth
525,True,a,2016-10-01 18:00:00,d,90,Watford,WAT,73,Bournemouth,BOU,2,2,1.23419,1.35487,0.33969774183546997,0.26398894069939416,0.39631331743897397,Bournemouth
533,True,h,2016-10-15 18:00:00,w,73,Bournemouth,BOU,91,Hull,HUL,6,1,2.92532,0.388589,0.8806281226397308,0.09106643697180955,0.028304948204727266,Bournemouth
541,True,h,2016-10-22 15:30:00,d,73,Bournemouth,BOU,82,Tottenham,TOT,0,0,0.523371,0.74529,0.23003768695756327,0.402068216197414,0.36789409684501806,Bournemouth
2681,True,a,2016-10-29 18:00:00,l,93,Middlesbrough,MID,73,Bournemouth,BOU,2,0,1.44317,1.54599,0.35578409935901417,0.2431541897880827,0.4010617106800531,Bournemouth
2687,True,h,2016-11-05 19:00:00,l,73,Bournemouth,BOU,77,Sunderland,SUN,1,2,2.6457,1.13672,0.6953736265158941,0.1635794052371209,0.1410468269463589,Bournemouth
2699,True,a,2016-11-19 19:00:00,w,85,Stoke,STO,73,Bournemouth,BOU,0,1,1.60429,1.24012,0.45862495291361755,0.24589515918787017,0.29547988768754146,Bournemouth
2714,True,a,2016-11-27 18:15:00,l,83,Arsenal,ARS,73,Bournemouth,BOU,3,1,2.8697,2.0491,0.5540119346842227,0.17412579893478028,0.2718618725159355,Bournemouth
3112,True,h,2016-12-04 17:30:00,w,73,Bournemouth,BOU,87,Liverpool,LIV,4,3,2.54396,1.26532,0.6509979369256065,0.17617023442233506,0.1728317424144905,Bournemouth
3119,True,a,2016-12-10 19:00:00,l,92,Burnley,BUR,73,Bournemouth,BOU,3,2,2.15178,1.00194,0.6363300483645005,0.19798038084390396,0.16568956071980356,Bournemouth
3125,True,h,2016-12-13 23:45:00,w,73,Bournemouth,BOU,75,Leicester,LEI,1,0,0.64118,1.6751,0.1390534168582514,0.23666262318559544,0.6242839595894508,Bournemouth
3141,True,h,2016-12-18 17:30:00,l,73,Bournemouth,BOU,74,Southampton,SOU,1,3,0.492912,1.69451,0.10280644083432047,0.22740856325459388,0.669784995483016,Bournemouth
3151,True,a,2016-12-26 19:00:00,l,80,Chelsea,CHE,73,Bournemouth,BOU,3,0,1.71303,0.650942,0.6305336160917313,0.2320355277096282,0.13743085570337465,Bournemouth
3161,True,a,2016-12-31 19:00:00,w,84,Swansea,SWA,73,Bournemouth,BOU,0,3,0.515218,2.43608,0.059930773418228056,0.14157262188230502,0.7984965549438245,Bournemouth
3336,True,h,2017-01-03 23:45:00,d,73,Bournemouth,BOU,83,Arsenal,ARS,3,3,1.55859,1.12629,0.4730781769481929,0.25202329120441247,0.2748985317071918,Bournemouth
3344,True,a,2017-01-14 19:00:00,l,91,Hull,HUL,73,Bournemouth,BOU,3,1,1.18904,1.43455,0.3127595506732242,0.26018844337130687,0.4270520059072416,Bournemouth
3352,True,h,2017-01-21 18:00:00,d,73,Bournemouth,BOU,90,Watford,WAT,2,2,1.14791,1.08731,0.37095310523661795,0.2883911442150336,0.34065575054530883,Bournemouth
3361,True,h,2017-01-31 22:45:00,l,73,Bournemouth,BOU,78,Crystal Palace,CRY,0,2,0.32099,1.60667,0.06967975142106461,0.23076671424247944,0.6995535341273914,Bournemouth
3372,True,a,2017-02-04 15:00:00,l,72,Everton,EVE,73,Bournemouth,BOU,6,3,2.75981,2.1501,0.5161912393221838,0.1791608771842531,0.3046476340338806,Bournemouth
3389,True,h,2017-02-13 20:00:00,l,73,Bournemouth,BOU,88,Manchester City,MCI,0,2,0.152385,2.953,0.009117325412766504,0.06735517261831445,0.9235269494465044,Bournemouth
3395,True,a,2017-02-25 15:00:00,l,76,West Bromwich Albion,WBA,73,Bournemouth,BOU,2,1,1.6124,1.22747,0.463441357622996,0.24557594037235875,0.2909827017800374,Bournemouth
3402,True,a,2017-03-04 12:30:00,d,89,Manchester United,MUN,73,Bournemouth,BOU,1,1,2.5377,0.816172,0.7467332844712392,0.1546564366345482,0.09861019530927251,Bournemouth
3411,True,h,2017-03-11 15:00:00,w,73,Bournemouth,BOU,81,West Ham,WHU,3,2,3.68186,1.25315,0.8111467555289048,0.10510113257433402,0.08374440373731709,Bournemouth
