id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l,team
464,True,h,2016-08-13 18:00:00,l,92,Burnley,BUR,84,Swansea,SWA,0,1,1.04903,1.72089,0.2305396610797922,0.23834000538950262,0.5311203330035158,Burnley
473,True,h,2016-08-20 18:00:00,w,92,Burnley,BUR,87,Liverpool,LIV,2,0,0.197536,0.939025,0.0765686646248343,0.3832668043879224,0.5401645309871198,Burnley
485,True,a,2016-08-27 18:00:00,l,80,Chelsea,CHE,92,Burnley,BUR,3,0,2.65838,0.18449,0.8946249876933491,0.09053082613502038,0.014844036140824026,Burnley
496,True,h,2016-09-10 18:00:00,d,92,Burnley,BUR,91,Hull,HUL,1,1,0.453149,0.907116,0.17695436670072587,0.3734145216634135,0.44963111163578495,Burnley
503,True,a,2016-09-17 18:00:00,l,75,Leicester,LEI,92,Burnley,BUR,3,0,1.98503,0.464523,0.7374990874235794,0.18628204980352542,0.07621885926577324,Burnley
520,True,h,2016-09-26 23:00:00,w,92,Burnley,BUR,90,Watford,WAT,2,0,0.569734,0.776105,0.24279609452400405,0.3887953844941208,0.3684085209818667,Burnley
530,True,h,2016-10-02 19:30:00,l,92,Burnley,BUR,83,Arsenal,ARS,0,1,0.608783,1.85433,0.11469916557040655,0.2121052490861388,0.6731955839176793,Burnley
539,True,a,2016-10-16 19:00:00,l,74,Southampton,SOU,92,Burnley,BUR,3,1,4.21181,1.03126,0.8880001465863456,0.06909130434513358,0.04287298166122182,Burnley
546,True,h,2016-10-22 18:00:00,w,92,Burnley,BUR,72,Everton,EVE,2,1,0.905579,0.752795,0.37099042454776615,0.34415647450336617,0.2848531009487884,Burnley
2682,True,a,2016-10-29 18:00:00,d,89,Manchester United,MUN,92,Burnley,BUR,0,0,2.72391,0.327957,0.8727779878515342,0.09991971022302286,0.02730209848463072,Burnley
2688,True,h,2016-11-05 19:00:00,w,92,Burnley,BUR,78,Crystal Palace,CRY,3,2,2.25738,2.05902,0.43797274445039297,0.19782318279453232,0.3642040483542176,Burnley
2706,True,a,2016-11-22 00:00:00,l,76,West Bromwich Albion,WBA,92,Burnley,BUR,4,0,1.40512,0.571005,0.5750322195503955,0.27421034355274454,0.15075743686308063,Burnley
2707,True,h,2016-11-26 16:30:00,l,92,Burnley,BUR,88,Manchester City,MCI,1,2,0.475642,2.25698,0.06287360720564428,0.15601208065578312,0.7811142934491054,Burnley
3107,True,a,2016-12-03 19:00:00,l,85,Stoke,STO,92,Burnley,BUR,2,0,1.12929,0.773995,0.4389601516377438,0.31077730214090477,0.25026254621969646,Burnley
3119,True,h,2016-12-10 19:00:00,w,92,Burnley,BUR,73,Bournemouth,BOU,3,2,2.15178,1.00194,0.6363300483645005,0.19798038084390396,0.16568956071980356,Burnley
3129,True,a,2016-12-14 23:45:00,l,81,West Ham,WHU,92,Burnley,BUR,1,0,1.67016,0.923353,0.5496100438699891,0.24288762018701787,0.2075023355904662,Burnley
3143,True,a,2016-12-18 20:00:00,l,82,Tottenham,TOT,92,Burnley,BUR,2,1,1.50755,1.17031,0.4500613294652579,0.2551279530117908,0.29481071743202475,Burnley
3150,True,h,2016-12-26 19:00:00,w,92,Burnley,BUR,93,Middlesbrough,MID,1,0,0.275704,0.698814,0.13116231271548928,0.45365923538826136,0.41517845189624775,Burnley
3157,True,h,2016-12-31 19:00:00,w,92,Burnley,BUR,77,Sunderland,SUN,4,1,2.72471,0.465701,0.8456070864571097,0.1124730451488717,0.04191966420655064,Burnley
3332,True,a,2017-01-02 15:00:00,l,88,Manchester City,MCI,92,Burnley,BUR,2,1,0.617412,0.642111,0.28831137897099746,0.4079511800885385,0.30373744094046345,Burnley
3345,True,h,2017-01-14 19:00:00,w,92,Burnley,BUR,74,Southampton,SOU,1,0,0.464555,0.962065,0.1734365860414518,0.360039352341804,0.46652406161656973,Burnley
3358,True,a,2017-01-22 17:15:00,l,83,Arsenal,ARS,92,Burnley,BUR,2,1,1.86443,1.29948,0.5067854907187617,0.22614844128665632,0.26706606645069886,Burnley
3362,True,h,2017-01-31 22:45:00,w,92,Burnley,BUR,75,Leicester,LEI,1,0,1.82995,0.775645,0.6243037533724562,0.22231289721430916,0.15338334821734909,Burnley
3374,True,a,2017-02-04 15:00:00,l,90,Watford,WAT,92,Burnley,BUR,2,1,1.66308,1.4777,0.42203801418465153,0.2356935348238909,0.342268450591399,Burnley
3387,True,h,2017-02-12 13:30:00,d,92,Burnley,BUR,80,Chelsea,CHE,1,1,0.906366,0.800222,0.3601114502516102,0.33899387370348666,0.3008946760448153,Burnley
3394,True,a,2017-02-25 15:00:00,d,91,Hull,HUL,92,Burnley,BUR,1,1,1.59037,0.473058,0.6510022162861441,0.24212667925792827,0.10687110427377007,Burnley
3405,True,a,2017-03-04 15:00:00,l,84,Swansea,SWA,92,Burnley,BUR,3,2,1.44545,0.933851,0.48974752003692446,0.2667092674307798,0.24354321248244495,Burnley
3419,True,a,2017-03-12 16:00:00,l,87,Liverpool,LIV,92,Burnley,BUR,2,1,0.966335,0.83474,0.37207069837668305,0.3277068687055767,0.30022243291753153,Burnley
3423,True,a,2017-03-18 15:00:00,d,77,Sunderland,SUN,92,Burnley,BUR,0,0,1.03287,1.18742,0.31700026022183553,0.28858494340827934,0.39441479636609916,Burnley
3431,True,h,2017-04-01 15:00:00,l,92,Burnley,BUR,82,Tottenham,TOT,0,2,0.44677,2.36346,0.053532649600305786,0.14263026881128738,0.8038370477845975,Burnley
3441,True,h,2017-04-04 19:45:00,w,92,Burnley,BUR,85,Stoke,STO,1,0,0.348885,1.17275,0.10992913310879339,0.31726024488506344,0.5728106220033561,Burnley
3456,True,a,2017-04-08 15:00:00,d,93,Middlesbrough,MID,92,Burnley,BUR,0,0,0.684683,0.809899,0.2797186597561748,0.3670920059000296,0.3531893343437794,Burnley
3467,True,a,2017-04-15 15:00:00,l,72,Everton,EVE,92,Burnley,BUR,3,1,1.67352,1.1469,0.4966950528055745,0.24203126339134012,0.26127368343896157,Burnley
3472,True,h,2017-04-23 14:15:00,l,92,Burnley,BUR,89,Manchester United,MUN,0,2,0.342829,2.24747,0.04328986084999169,0.14491427729476472,0.8117958441571753,Burnley
3480,True,a,2017-04-29 17:30:00,w,78,Crystal Palace,CRY,92,Burnley,BUR,0,2,0.633469,1.38569,0.17034738239352476,0.27751991678909965,0.5521327007894613,Burnley
3492,True,h,2017-05-06 15:00:00,d,92,Burnley,BUR,76,West Bromwich Albion,WBA,2,2,1.08649,0.82853,0.412046667209744,0.31298017641925946,0.2749731563700153,Burnley
3500,True,a,2017-05-13 15:00:00,l,73,Bournemouth,BOU,92,Burnley,BUR,2,1,1.5499,1.1511,0.4651768049374117,0.25220417660971994,0.282619018322217,Burnley
3511,True,h,2017-05-21 15:00:00,l,92,Burnley,BUR,81,West Ham,WHU,1,2,1.70802,1.67299,0.39374513659960625,0.22710685573922046,0.37914800682443783,Burnley
